;loss_train;loss_val;metric_train;metric_val
0;1.0765364828862642;1.0300509497231127;0.27128568137260645;0.3959467524637505
1;1.0135430881851597;0.9871561959678051;0.3914222395733783;0.45584025248592974
2;0.9727030380776054;0.9450815413512436;0.42152829625104604;0.4521289796878894
3;0.9286672661178991;0.8982391556104025;0.4372226552743661;0.41063562562026074
4;0.8674696056466353;0.8181926502900965;0.4641777786769365;0.5264807364483383
5;0.7759300391925009;0.7118816802314684;0.5115931716404463;0.5469988340548441
6;0.6518414945978868;0.587761789560318;0.5762469941063931;0.613295116470944
7;0.5290408714821464;0.47775811906538757;0.6143420471956855;0.6171335059345937
8;0.4624558522513038;0.4249582616429703;0.6197418335237002;0.6285626193298501
9;0.37799067834490224;0.34283846762834813;0.6709024608135223;0.6882519129042824
10;0.3607254306736745;0.34760117808393404;0.6559072842723445;0.6709089611529135
11;0.32141969901950734;0.3037962609646367;0.6840059270984248;0.6961779212396518
12;0.30554329250988205;0.3003689345045417;0.6876938476374275;0.6936472760988217
13;0.29175188117905665;0.28174525258295674;0.7005023477893126;0.7093849749710667
14;0.28488507710005107;0.2693820489095707;0.6980507695361188;0.7164183836065087
15;0.2745177504655562;0.2779848619418986;0.7060576442040896;0.7007690835013693
16;0.26908039458488164;0.2679922316296428;0.7098086288100794;0.7123635457646028
17;0.2618807140541704;0.2891869874415444;0.7152663234033083;0.6883050548460554
18;0.2544586442803082;0.26496009747771654;0.7221889825243699;0.7127958476251247
19;0.2537264349429231;0.26942963912790896;0.7220855112138548;0.7064744217284754
20;0.24700792682798287;0.2582068463750914;0.7279601959805739;0.7176309414984038
21;0.2514157765790036;0.25851171507554893;0.7239934135424463;0.7184961021092593
22;0.23885221446031019;0.2579974988658054;0.7361062631795281;0.7189869686376815
23;0.24373243004083633;0.25816811394749906;0.7306855305245048;0.7191987917484606
24;0.24720483645796776;0.2587769233128604;0.7272585857855646;0.7186724289192581
25;0.2875268641663225;0.272341291036676;0.6859016434142464;0.6996186829409471
26;0.29461513283221347;0.31932930195448445;0.6727105026182375;0.6497841867453912
27;0.29519585833737727;0.2718082137551962;0.6701205019888125;0.6973089750892684
28;0.30461142310186434;0.28066665723043327;0.658732071518898;0.6885134663944151
29;0.27848875895142555;0.2613697595456067;0.6879225075244904;0.7060431821192455
30;0.27439910565551956;0.2696991361239377;0.6904151604363793;0.7019004144285824
31;0.3033098217688109;0.2884683619965525;0.6594053200985256;0.678312873066056
32;0.2817911211597292;0.2495018040724829;0.6828073482764395;0.7163398857137152
33;0.2564509885483666;0.26079175453267844;0.7095042004397041;0.7106789582107654
34;0.25926532988485534;0.2643813057711311;0.7044684957516821;0.7029219930078469
35;0.2602814675161713;0.28342677010040657;0.7029594990767931;0.6861674798031648
36;0.2538709579721877;0.26597470446836713;0.7117621600627899;0.7028395049114182
37;0.24008201474421903;0.24465761333703995;0.7244083944119906;0.7247903156733396
38;0.24583793353093297;0.2528141416317108;0.7168501239073904;0.7156257862253708
39;0.23895761527513204;0.24991298445007382;0.7258419637617312;0.7192723632410086
40;0.24101919876901726;0.25357329830819486;0.7232943083110609;0.7154361596970144
41;0.24318095139766993;0.24949037254441017;0.7224896424695065;0.7214904162605058
42;0.24261932192664398;0.2415203139478085;0.719544317377241;0.7272967305673542
43;0.2242815388660682;0.24152147360876494;0.7407913576615485;0.7282469088570318
44;0.228012064177739;0.24366653549904918;0.7369315451697299;0.7258307631310149
45;0.22907089265553573;0.2448742529925178;0.7371425416908766;0.7247861402837432
46;0.22089891135692596;0.24551312493927338;0.74465506484634;0.7244394966492466
47;0.22249573057419375;0.24377504772707528;0.7425196288447631;0.7257575425775904
48;0.23127936944365501;0.24382754422578157;0.7346173093507165;0.7256034703413937
49;0.22482998590720327;0.24365945898142516;0.7385640411000503;0.7254734043780641
50;0.27318569076688665;0.2763224039591995;0.6889557148280897;0.6921179162740123
51;0.2612843201740792;0.2849002920967691;0.7018338504590487;0.6826700647270271
52;0.26590183847828913;0.2518026995308259;0.6946681353606676;0.7182312886066297
53;0.26501720712373134;0.26995736506639745;0.6999144569823617;0.6969908109190417
54;0.2539525628089905;0.2531413080937722;0.7080339326670295;0.7150382415628901
55;0.26063404977321625;0.2487645999473684;0.6993734452285265;0.716944435178091
56;0.2549000109889005;0.2573683963102453;0.7065297035794509;0.7110018586995555
57;0.23847584779325284;0.24909681761089494;0.7258438734631789;0.7183353424382707
58;0.238347456447388;0.2715889473317885;0.7262541981119859;0.6983139712326959
59;0.2542138589840186;0.26679132338248046;0.7098474196697536;0.7028620053703586
