;loss_train;loss_val;metric_train;metric_val
0;-0.06546961988329997;0.4143720222454445;0.6775215017168146;0.7199593662631278
1;-0.07183760723608996;0.41305183312472177;0.6684372879956898;0.7212069780364925
2;-0.0697088213808462;0.411772771208894;0.6675316275734651;0.721462157920149
3;-0.0778364187614821;0.41050809271195354;0.6599855752367723;0.7207021257091387
4;-0.0721846539503805;0.4091180259106206;0.6682123310471836;0.718407586536498
5;-0.0825808178155813;0.4079151375620973;0.6536271461273396;0.7125145183492672
6;-0.08447785902194994;0.4070868211634019;0.6488537717806665;0.6999531103042411
7;-0.09812167603920106;0.4065917169346529;0.6285335233337;0.6776123513129777
8;-0.1058578035348028;0.4082426440482046;0.6188890969282702;0.6427137741965114
9;-0.12922971504132771;0.4140401669577056;0.584067691313593;0.5881310714518323
