;loss_train;loss_val;metric_train;metric_val
0;0.0029360836016941124;0.8976243804482853;0.4688298658033212;0.5731609172972978
1;0.002086153672962112;0.895852247873942;0.5434994329263767;0.5939120330354747
2;0.002116882590566258;0.89665967576644;0.5283565403024355;0.4430247950276323
3;0.002146238658619391;0.8949681204908034;0.5114399790608635;0.48678059737179796
4;0.0019282045346944055;0.8860404082373077;0.5186184052626291;0.6043669032846012
5;0.001616922081129419;0.8780366743312162;0.5508948786060015;0.622805246973739
6;0.001445614818867821;0.8745477620293113;0.5646698419253031;0.6139340456209931
7;0.0014700176355934757;0.8723124394229814;0.5523098657280207;0.6204344365088379
8;0.0012553475470943969;0.8700486877385307;0.5754414927959443;0.6316973862321545
9;0.0012102300430365817;0.8726820700308856;0.5796093414227168;0.5431574628341431
10;0.0011133386275179733;0.8683554483394996;0.5801759912570318;0.6149432716626382
11;0.001102042443062403;0.8572425515043969;0.5824956246217092;0.6491971328334116
12;0.0008632801705074018;0.8654355979433247;0.6100745456665755;0.5583308292370216
13;0.0009596396044780549;0.8553373147459591;0.5927496147155762;0.6420777227327812
14;0.0007905224284825143;0.8541059529080111;0.6169739965846142;0.6387323090879649
